"","Column","Row","RefNumber","Name.Append","Name","ID","ControlType","TopHit","Correct.Accession.number","Accession","Probe","blast2go.Seq.Description","NCBI.Accession.name","Gene","Gene.Code","Probe.Group","Modified.Probe.Group","Function","FC","Species.Detail","Species.Group","X","X.1","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CUST_433_PI426227486",63,112,5439,"222795283_EZ023671.1","222795283_EZ023671.1_57-1194","CUST_433_PI426227486","FALSE","gi|222795283_EZ023671.1_57-1194","EZ023671.1","EZ023671.1","EZ023671","quinone oxidoreductase-like protein 2-like","Quinone oxidoreductase-like protein 2 homolog","Quinone oxidoreductase-like protein 2 homolog","","misc","(revisit)","misc (fix)","misc","Acropora millepora","coral",NA,NA,-0.0952466408588901,0.529859241527316,-0.2104760778865,0.838771924105326,1,-5.82747571216452
"CUST_274_PI426227486",46,129,8300,"222784392_EZ013050.1","222784392_EZ013050.1_13-553","CUST_274_PI426227486","FALSE","gi|222784392_EZ013050.1_13-553","EZ013050.1","EZ013050.1","EZ013050","nuclear protein localization protein 4 homolog","Nuclear protein localization protein 4 homolog (Nploc4","Nuclear protein localization protein 4 homolog (Nploc4","","misc","(revisit)","misc (fix)","misc","Acropora millepora","coral",NA,NA,0.0879665087778425,0.317694612909164,0.209706292761086,0.839351902536513,1,-5.82764260951
"CUST_9_PI426227887",55,86,6764,"222549919_EZ005832.1","222549919_EZ005832.1_66-206","CUST_9_PI426227887","FALSE","gi|222549919_EZ005832.1_66-206","EZ005832.1","EZ005832.1","EZ005832","5-hydroxytryptamine receptor 1d (Htr1d)","5-hydroxytryptamine receptor 1D (Htr1d)","5-hydroxytryptamine receptor 1D (Htr1d)","","response to toxin","(revisit)","response to xenobiotic","SR","Acropora millepora","coral",NA,NA,0.110112546226297,0.45418930149492,0.209580510896664,0.839446680250676,1,-5.82766982290635
"CUST_228_PI426266615",92,51,795,"DQ351254_329_363","DQ351254_329_363","CUST_228_PI426266615","FALSE","","DQ351254","DQ351254.1","DQ351254","","NADH dehydrogenase subunit 1 gene (MT-ND1)","NADH dehydrogenase subunit 1 gene (MT-ND1)","","respiration","(revisit)","cellular respiration","NCF","Acropora yongei","coral",NA,NA,0.101531974738117,0.779108554312072,0.209167223503808,0.839758115608243,1,-5.82775912569459
"CUST_26_PI426244603",46,132,8217,"199581450_EU709809.1","199581450_EU709809.1_1-696","CUST_26_PI426244603","FALSE","gi|199581450_EU709809.1_1-696","EU709809.1","EU709809.1","EU709809","green fluorescent gfp-like protein","green fluorescent protein","green fluorescent protein","","bioluminescence","bioluminescence","bioluminescence","NCF","Acropora millepora","coral",NA,NA,0.0781890486207977,0.330479762333553,0.207413583797071,0.841079917913484,1,-5.82813611366676
"CUST_46_PI426244589",74,148,3617,"222544872_EZ001062.1","222544872_EZ001062.1_1837-2877","CUST_46_PI426244589","FALSE","gi|222544872_EZ001062.1_1837-2877","EZ001062.1","EZ001062.1","EZ001062","large homolog 5","Disks large homolog 5 (DLG5)","Disks large homolog 5 (DLG5)","","adhesion_celljunction","(revisit)","signaling","NCF","Acropora millepora","coral",NA,NA,0.098033128127407,0.490484673729392,0.207386508220601,0.841100330320992,1,-5.82814190964809
"CUST_671_PI426227498",87,146,1486,"222783370_EZ012035.1","222783370_EZ012035.1_55-823","CUST_671_PI426227498","FALSE","gi|222783370_EZ012035.1_55-823","EZ012035.1","EZ012035.1","EZ012035","-related lipid transfer domain containing 13-like","StAR-related lipid transfer protein 13 (Stard13","StAR-related lipid transfer protein 13 (Stard13","","signal transduction","(revisit)","signaling","MF","Acropora millepora","coral",NA,NA,-0.0910060796166853,0.39358385015182,-0.207346072574228,0.841130815189389,1,-5.82815056418466
"CUST_33_PI426266360",69,21,4582,"222795179_EZ023567.1","222795179_EZ023567.1_163-624","CUST_33_PI426266360","FALSE","gi|222795179_EZ023567.1_163-624","EZ023567.1","EZ023567.1","EZ023567","dimethylaniline monooxygenase","Dimethylaniline monooxygenase","Dimethylaniline monooxygenase","","reactive O2 species metabolism","oxidative metabolism of xenobiotics_drugs and pesticides","response to xenobiotic","SR","Acropora millepora","coral",NA,NA,-0.143647190837745,0.85773869033171,-0.207268996571043,0.841188924412188,1,-5.82816705632506
"CUST_22_PI426265162",79,68,2837,"222784176_EZ012834.1","222784176_EZ012834.1_55-1173","CUST_22_PI426265162","FALSE","gi|222784176_EZ012834.1_55-1173","EZ012834.1","EZ012834.1","EZ012834","cndp dipeptidase 2 (metallopeptidase m20 family)","Cytosolic non-specific dipeptidase (Cndp2)","Cytosolic non-specific dipeptidase (Cndp2)","","metal ion homeostasis","(revisit)","metal ion binding","MF","Acropora millepora","coral",NA,NA,-0.0880580253874134,0.427588804738533,-0.206336880262884,0.84189174903523,1,-5.82836602387766
"CUST_392_PI426266615",92,44,717,"Y17848_1575_1609","Y17848_1575_1609","CUST_392_PI426266615","FALSE","","Y17848","Y17848.1","Y17848","","heat shock protein 90 alpha (HSP90a)","heat shock protein 90 alpha (HSP90a)","","protein modification","(revisit)","molecular chaperone","MF","Acropora millepora","coral",NA,NA,-0.0911639930418245,0.451724499892203,-0.205351698401068,0.842634750749662,1,-5.82857535544972
