"","Column","Row","RefNumber","Name.Append","Name","ID","ControlType","TopHit","Correct.Accession.number","Accession","Probe","blast2go.Seq.Description","NCBI.Accession.name","Gene","Gene.Code","Probe.Group","Modified.Probe.Group","Function","FC","Species.Detail","Species.Group","X","X.1","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CUST_105_PI426232940",95,62,216,"71372562_DQ082986.1","71372562_DQ082986.1_239-361","CUST_105_PI426232940","FALSE","gi|71372562_DQ082986.1_239-361","DQ082986.1","DQ082986.1","DQ082986","cytochrome b","cytochrome b gene (cob) mitochondrial (MT-CYB)","cytochrome b gene (cob) mitochondrial (MT-CYB)","","ETC","cell respiration","cellular respiration","NCF","Symbiodinium sp.","zooxanthellae",NA,NA,-0.022836189579186,8.14381112059154,-0.1054577111295,0.918714442767577,1,-5.6396501975165
"CUST_14_PI426266615",61,49,5880,"AB106689_129_163","AB106689_129_163","CUST_14_PI426266615","FALSE","","AB106689","AB106689.1","AB106689","","Glyceraldehyde-3-Phosphate Dehydrogenase (GAPDH)","Glyceraldehyde-3-Phosphate Dehydrogenase (GAPDH)","","glycolysis","metabolism","regulation of apoptosis","MF","Symbiodinium sp.","zooxanthellae",NA,NA,-0.0358423606594531,3.90232542938252,-0.105265845459099,0.918861714199677,1,-5.63967021468303
"CUST_34_PI426265159",91,34,886,"222779782_EZ008453.1","222779782_EZ008453.1_108-494","CUST_34_PI426265159","FALSE","gi|222779782_EZ008453.1_108-494","EZ008453.1","EZ008453.1","EZ008453","1-acyl-sn-glycerol-3-phosphate acyltransferase","1-acyl-sn-glycerol-3-phosphate acyltransferase theta (agpat9)","1-acyl-sn-glycerol-3-phosphate acyltransferase theta (agpat9)","","metabolism-mixed","(revisit)","protein transport","NCF","Acropora millepora","coral",NA,NA,0.0380547667935767,1.73841059293653,0.105241807305732,0.918880165539559,1,-5.63967271999995
"CUST_213_PI426232940",92,12,733,"288950280_GQ501351.1","288950280_GQ501351.1_22-495","CUST_213_PI426232940","FALSE","gi|288950280_GQ501351.1_22-495","GQ501351.1","GQ501351.1","GQ501351","cytochrome c oxidase subunit I (cox1)","cytochrome c oxidase subunit I (cox1)","cytochrome c oxidase subunit I (MT-CO1)","","ETC","respiration","cellular respiration","NCF","Symbiodinium sp. clade A","zooxanthellae",NA,NA,0.0213313613833925,6.42310809178955,0.104745322497649,0.919261271881703,1,-5.63972433735974
"CUST_2_PI426247727",50,145,7636,"222551156_EZ007069.1","222551156_EZ007069.1_25-249","CUST_2_PI426247727","FALSE","gi|222551156_EZ007069.1_25-249","EZ007069.1","EZ007069.1","EZ007069","phosphoglucomutase 1","Phosphoglucomutase-1 (PGM1)","Phosphoglucomutase-1 (PGM1)","","glycogenolysis","carbohydrate metabolism","metabolism","NCF","Acropora millepora","coral",NA,NA,-0.0460591288982342,0.543034108513426,-0.104063221072069,0.919784895714723,1,-5.63979485571663
"CUST_7_PI426244603",87,150,1484,"78059147_DQ206378.1","78059147_DQ206378.1_1-666","CUST_7_PI426244603","FALSE","gi|78059147_DQ206378.1_1-666","DQ206378.1","DQ206378.1","DQ206378","gfp-like chromoprotein","GFP-like chromoprotein","GFP-like chromoprotein","","bioluminescence","(revisit)","bioluminescence","NCF","Stylocoeniella sp.","coral",NA,NA,-0.0523095927508571,0.617696300924117,-0.103379411621657,0.920309872841404,1,-5.63986508966543
"CUST_129_PI426265159",88,6,1392,"222793564_EZ021952.1","222793564_EZ021952.1_827-1564","CUST_129_PI426265159","FALSE","gi|222793564_EZ021952.1_827-1564","EZ021952.1","EZ021952.1","EZ021952","glutamate dehydrogenase 1","Glutamate dehydrogenase 1","Glutamate dehydrogenase 1","","metabolism-mixed","(revisit)","metabolism","MF","Acropora millepora","coral",NA,NA,0.0616084197013259,1.01459808256677,0.102514504748092,0.920973942819896,1,-5.63995326294108
"CUST_187_PI426266615",47,43,8179,"Dbs_193_227","Dbs_193_227","CUST_187_PI426266615","FALSE","","Dbs","BI534457","Dbs","","Ubiquitin-conjugating enzyme E2 L3 (UBE2L3)","Ubiquitin-conjugating enzyme E2 L3 (UBE2L3)","","protein ubiquitination","protein binding_immune response","protein modification","MF","Acropora cervicornis","coral",NA,NA,-0.0426949155714857,0.369700149847395,-0.10210939405609,0.921285007111928,1,-5.6399943081475
"CUST_3_PI426244593",56,2,6642,"222781761_EZ010432.1","222781761_EZ010432.1_1069-1458","CUST_3_PI426244593","FALSE","gi|222781761_EZ010432.1_1069-1458","EZ010432.1","EZ010432.1","EZ010432","lactate dehydrogenase d","D-lactate dehydrogenase","D-lactate dehydrogenase (LDHD)","","glycolysis","mitochondrial dehydrogenase","metabolism","NCF","Acropora millepora","coral",NA,NA,0.0215770127026095,0.611418255315152,0.101774135259532,0.921542446603213,1,-5.64002815353583
"CUST_28_PI426264527",87,114,1502,"222800437_EZ028825.1","222800437_EZ028825.1_3-341","CUST_28_PI426264527","FALSE","gi|222800437_EZ028825.1_3-341","EZ028825.1","EZ028825.1","EZ028825","cd151 antigen","CD151 antigen (CD151)","CD151 antigen (CD151)","","cell adhesion","cell motility_cell-cell interaction","signaling","MF","Acropora millepora","coral",NA,NA,-0.044052732849873,0.431814556508088,-0.101611086598055,0.921667652464845,1,-5.64004457368227
